ID,Exposure,Group,SJT_Pre_Acc,SJT_Pre_RT,SJT_Post_Acc,SJT_Post_RT,VF_Eng_Pre,VF_Eng_Post,VF_Dutch_Pre,VF_Dutch_Post,Gender,Age,Eng_Listen,Eng_Speak,Eng_Read,Eng_Write,Eng_Agg
AC404,1,1,0.666666667,5512.2,0.688888889,6016.566667,4,63,0,9,1,22,5,6,6,6,23
AH205,0,1,0.333333333,4034.722222,0.522222222,4651.188889,74,58,0,7,0,20,7,7,7,7,28
AS101,0,0,0.588888889,5341.655556,0.744444444,5233.633333,75,101,0,12,1,22,7,7,7,6,27
CK203,0,1,0.611111111,3907.511111,0.733333333,4792.844444,4,83,0,17,0,22,7,7,7,7,28
DG211,0,1,0.5,5832.611111,0.7,6413.5,67,0,1,0,1,34,6,7,6,7,26
DS207,0,1,0.622222222,4834.688889,0.622222222,4834.688889,48,82,0,19,0,21,7,7,7,7,28
DU409,1,1,0.477777778,4957.111111,0.566666667,5096.533333,58,65,0,21,1,20,7,7,6,7,27
EB105,0,0,0.422222222,3815.9,0.644444444,4095.5,5,5,0,1,1,21,7,7,7,7,28
EM306,1,0,0.533333333,6193.4,0.755555556,8077.911111,63,64,0,6,1,21,7,7,7,7,28
FO108,0,0,0.611111111,6589.533333,0.811111111,5630.277778,10,5,0,1,1,22,7,7,7,7,28
JB412,1,1,0.577777778,5221.8,0.744444444,4324.244444,74,79,1,21,0,21,7,7,7,7,28
JF302,1,0,0.611111111,5153.822222,0.744444444,6098.155556,85,96,0,16,1,29,7,7,7,7,28
JG303,1,0,0.588888889,5108.588889,0.622222222,5244.711111,73,74,0,15,0,24,7,7,7,7,28
JK406,1,1,0.744444444,4377.933333,0.855555556,4697.944444,5,5,1,1,0,22,7,7,7,7,28
KC202,0,1,0.533333333,5959.744444,0.6,6056.2,19,72,1,13,1,21,7,7,7,7,28
KD103,0,0,0.611111111,4787.966667,0.655555556,4520.2,49,85,0,13,1,22,7,7,7,7,28
MN402,1,1,0.511111111,5753.655556,0.6,7808.677778,61,54,0,8,1,19,7,7,7,6,27
MR410,1,1,0.544444444,6464.4,0.711111111,6414.2,56,77,0,13,1,20,7,7,7,6,27
RG107,0,0,0.588888889,6447.277778,0.644444444,6221.722222,5,5,0,1,1,19,7,7,7,7,28
RL213,0,1,0.622222222,5113.144444,0.744444444,4656.188889,56,70,0,14,1,21,7,7,7,7,28
SJ414,1,1,0.6,4437.388889,0.766666667,5655.766667,10,5,1,1,1,21,7,7,7,7,28
TP408,1,1,0.633333333,5519.466667,0.855555556,4749.611111,70,66,0,21,0,19,7,7,7,7,28
ZP308,1,0,0.588888889,6547.522222,0.622222222,5104.566667,5,5,0,1,1,19,7,7,7,7,28
ZV201,0,1,0.566666667,6056.722222,0.633333333,6794.166667,5,5,0,1,1,30,6,6,6,7,25
